--- Terminal: 1 ---
[2026-05-13 08:04:53] Decode batch, #running-req: 24, #full token: 1783125, full token usage: 0.11, mamba num: 24, mamba usage: 1.00, accept len: 1.83, accept rate: 0.92, cuda graph: False, gen throughput (token/s): 1886.98, #queue-req: 8, 
[2026-05-13 08:04:54] Decode batch, #running-req: 24, #full token: 1784885, full token usage: 0.11, mamba num: 24, mamba usage: 1.00, accept len: 1.83, accept rate: 0.92, cuda graph: False, gen throughput (token/s): 1888.00, #queue-req: 8, 
[2026-05-13 08:04:55] Decode batch, #running-req: 24, #full token: 1786645, full token usage: 0.11, mamba num: 24, mamba usage: 1.00, accept len: 1.83, accept rate: 0.92, cuda graph: False, gen throughput (token/s): 1884.51, #queue-req: 8, 
[2026-05-13 08:04:56] Decode batch, #running-req: 24, #full token: 1788405, full token usage: 0.11, mamba num: 24, mamba usage: 1.00, accept len: 1.83, accept rate: 0.92, cuda graph: False, gen throughput (token/s): 1886.07, #queue-req: 8, 
[2026-05-13 08:04:57] Decode batch, #running-req: 24, #full token: 1790165, full token usage: 0.12, mamba num: 24, mamba usage: 1.00, accept len: 1.83, accept rate: 0.92, cuda graph: False, gen throughput (token/s): 1888.20, #queue-req: 8, 
[2026-05-13 08:04:58] Decode batch, #running-req: 24, #full token: 1791925, full token usage: 0.12, mamba num: 24, mamba usage: 1.00, accept len: 1.83, accept rate: 0.92, cuda graph: False, gen throughput (token/s): 1886.97, #queue-req: 8, 
[2026-05-13 08:04:59] Decode batch, #running-req: 24, #full token: 1793685, full token usage: 0.12, mamba num: 24, mamba usage: 1.00, accept len: 1.83, accept rate: 0.92, cuda graph: False, gen throughput (token/s): 1886.60, #queue-req: 8, 
[2026-05-13 08:05:00] Decode batch, #running-req: 24, #full token: 1795445, full token usage: 0.12, mamba num: 24, mamba usage: 1.00, accept len: 1.83, accept rate: 0.92, cuda graph: False, gen throughput (token/s): 1880.59, #queue-req: 8, 
[2026-05-13 08:05:01] Decode batch, #running-req: 24, #full token: 1797205, full token usage: 0.12, mamba num: 24, mamba usage: 1.00, accept len: 1.83, accept rate: 0.92, cuda graph: False, gen throughput (token/s): 1879.92, #queue-req: 8, 
[2026-05-13 08:05:02] Decode batch, #running-req: 24, #full token: 1798965, full token usage: 0.12, mamba num: 24, mamba usage: 1.00, accept len: 1.83, accept rate: 0.92, cuda graph: False, gen throughput (token/s): 1881.30, #queue-req: 8, 
